muQ deltax deltay muu mud mus mue nu nd ns ne epsilon P
1.001001001001001 300.0 0.0 1.001001001001001 1.001001001001001 0.0 0.0 -6.51370720283256e-17 -6.51370720283256e-17 0.0 -1.0052185159850071e-25 -1.3040454860525646e-19 0.0 
2.002002002002002 300.0 0.0 2.002002002002002 2.002002002002002 0.0 0.0 -6.513380864215069e-17 -6.513380864215069e-17 0.0 -1.0052185159850071e-25 -2.60796030599202e-19 0.0 
3.0030030030030033 300.0 0.0 3.0030030030030033 3.0030030030030033 0.0 0.0 -6.512836978630544e-17 -6.512836978630544e-17 0.0 -1.0052185159850071e-25 -3.911613800979307e-19 0.0 
4.004004004004004 300.0 0.0 4.004004004004004 4.004004004004004 0.0 0.0 -6.512075564246669e-17 -6.512075564246669e-17 0.0 -1.0052185159850071e-25 -5.21487532672406e-19 0.0 
5.005005005005005 300.0 0.0 5.005005005005005 5.005005005005005 0.0 0.0 -6.51109664649961e-17 -6.51109664649961e-17 0.0 -1.0052185159850071e-25 -6.517614260760372e-19 0.0 
6.0060060060060065 300.0 0.0 6.0060060060060065 6.0060060060060065 0.0 0.0 -6.509900258095387e-17 -6.509900258095387e-17 0.0 -1.0052185159850071e-25 -7.81970000972419e-19 0.0 
7.007007007007008 300.0 0.0 7.007007007007008 7.007007007007008 0.0 0.0 -6.508486439011822e-17 -6.508486439011822e-17 0.0 -1.0052185159850071e-25 -9.121002016633186e-19 0.0 
8.008008008008009 300.0 0.0 8.008008008008009 8.008008008008009 0.0 0.0 -6.5068552365006e-17 -6.5068552365006e-17 0.0 -1.0052185159850071e-25 -1.0421389768169132e-18 0.0 
9.00900900900901 300.0 0.0 9.00900900900901 9.00900900900901 0.0 0.0 -6.50500670509007e-17 -6.50500670509007e-17 0.0 -1.0052185159850071e-25 -1.1720732801964093e-18 0.0 
10.01001001001001 300.0 0.0 10.01001001001001 10.01001001001001 0.0 0.0 -6.502940906588152e-17 -6.502940906588152e-17 0.0 -1.0052185159850071e-25 -1.3018900713890192e-18 0.0 
11.011011011011012 300.0 0.0 11.011011011011012 11.011011011011012 0.0 0.0 -6.500657910085844e-17 -6.500657910085844e-17 0.0 -1.0052185159850071e-25 -1.4315763165354215e-18 0.0 
12.012012012012013 300.0 0.0 12.012012012012013 12.012012012012013 0.0 0.0 -6.498157791961061e-17 -6.498157791961061e-17 0.0 -1.0052185159850071e-25 -1.5611189890597144e-18 0.0 
13.013013013013014 300.0 0.0 13.013013013013014 13.013013013013014 0.0 0.0 -6.495440635883031e-17 -6.495440635883031e-17 0.0 -1.0052185159850071e-25 -1.6905050703999883e-18 0.0 
14.014014014014016 300.0 0.0 14.014014014014016 14.014014014014016 0.0 0.0 -6.492506532816657e-17 -6.492506532816657e-17 0.0 -1.0052185159850071e-25 -1.819721550739404e-18 0.0 
15.015015015015017 300.0 0.0 15.015015015015017 15.015015015015017 0.0 0.0 -6.48935558102793e-17 -6.48935558102793e-17 0.0 -1.0052185159850071e-25 -1.9487554297381176e-18 0.0 
16.016016016016017 300.0 0.0 16.016016016016017 16.016016016016017 0.0 0.0 -6.485987886089324e-17 -6.485987886089324e-17 0.0 -1.0052185159850071e-25 -2.07759371726585e-18 0.0 
17.017017017017018 300.0 0.0 17.017017017017018 17.017017017017018 0.0 0.0 -6.482403560885571e-17 -6.482403560885571e-17 0.0 -1.0052185159850071e-25 -2.20622343413523e-18 0.0 
18.01801801801802 300.0 0.0 18.01801801801802 18.01801801801802 0.0 0.0 -6.478602725620197e-17 -6.478602725620197e-17 0.0 -1.0052185159850071e-25 -2.3346316128361073e-18 0.0 
19.01901901901902 300.0 0.0 19.01901901901902 19.01901901901902 0.0 0.0 -6.474585507822146e-17 -6.474585507822146e-17 0.0 -1.0052185159850071e-25 -2.4628052982706864e-18 0.0 
20.02002002002002 300.0 0.0 20.02002002002002 20.02002002002002 0.0 0.0 -6.470352042352944e-17 -6.470352042352944e-17 0.0 -1.0052185159850071e-25 -2.590731548489668e-18 0.0 
21.021021021021024 300.0 0.0 21.021021021021024 21.021021021021024 0.0 0.0 -6.465902471414389e-17 -6.465902471414389e-17 0.0 -1.0052185159850071e-25 -2.7183974354294737e-18 0.0 
22.022022022022025 300.0 0.0 22.022022022022025 22.022022022022025 0.0 0.0 -6.461236944556415e-17 -6.461236944556415e-17 0.0 -1.0052185159850071e-25 -2.8457900456504736e-18 0.0 
23.023023023023026 300.0 0.0 23.023023023023026 23.023023023023026 0.0 0.0 -6.456355618685614e-17 -6.456355618685614e-17 0.0 -1.0052185159850071e-25 -2.9728964810764602e-18 0.0 
24.024024024024026 300.0 0.0 24.024024024024026 24.024024024024026 0.0 0.0 -6.451258658074075e-17 -6.451258658074075e-17 0.0 -1.0052185159850071e-25 -3.099703859735292e-18 0.0 
25.025025025025027 300.0 0.0 25.025025025025027 25.025025025025027 0.0 0.0 -6.44594623436863e-17 -6.44594623436863e-17 0.0 -1.0052185159850071e-25 -3.226199316500816e-18 0.0 
26.026026026026027 300.0 0.0 26.026026026026027 26.026026026026027 0.0 0.0 -6.44041852660064e-17 -6.44041852660064e-17 0.0 -1.0052185159850071e-25 -3.3523700038361693e-18 0.0 
27.027027027027028 300.0 0.0 27.027027027027028 27.027027027027028 0.0 0.0 -6.434675721196082e-17 -6.434675721196082e-17 0.0 -1.0052185159850071e-25 -3.478203092538423e-18 0.0 
28.028028028028032 300.0 0.0 28.028028028028032 28.028028028028032 0.0 0.0 -6.42871801198611e-17 -6.42871801198611e-17 0.0 -1.0052185159850071e-25 -3.6036857724847074e-18 0.0 
29.029029029029033 300.0 0.0 29.029029029029033 29.029029029029033 0.0 0.0 -6.422545600218174e-17 -6.422545600218174e-17 0.0 -1.0052185159850071e-25 -3.7288052533799214e-18 0.0 
30.030030030030034 300.0 0.0 30.030030030030034 30.030030030030034 0.0 0.0 -6.416158694567372e-17 -6.416158694567372e-17 0.0 -1.0052185159850071e-25 -3.853548765505929e-18 0.0 
31.031031031031034 300.0 0.0 31.031031031031034 31.031031031031034 0.0 0.0 -6.40955751114838e-17 -6.40955751114838e-17 0.0 -1.0052185159850071e-25 -3.9779035604724685e-18 0.0 
32.032032032032035 300.0 0.0 32.032032032032035 32.032032032032035 0.0 0.0 -6.402742273527902e-17 -6.402742273527902e-17 0.0 -1.0052185159850071e-25 -4.101856911969829e-18 0.0 
33.033033033033036 300.0 0.0 33.033033033033036 33.033033033033036 0.0 0.0 -6.395713212737295e-17 -6.395713212737295e-17 0.0 -1.0052185159850071e-25 -4.2253961165231384e-18 0.0 
34.034034034034036 300.0 0.0 34.034034034034036 34.034034034034036 0.0 0.0 -6.388470567285889e-17 -6.388470567285889e-17 0.0 -1.0052185159850071e-25 -4.348508494248653e-18 0.0 
35.03503503503504 300.0 0.0 35.03503503503504 35.03503503503504 0.0 0.0 -6.381014583174757e-17 -6.381014583174757e-17 0.0 -1.0052185159850071e-25 -4.471181389611942e-18 0.0 
36.03603603603604 300.0 0.0 36.03603603603604 36.03603603603604 0.0 0.0 -6.373345513910805e-17 -6.373345513910805e-17 0.0 -1.0052185159850071e-25 -4.593402172187969e-18 0.0 
37.03703703703704 300.0 0.0 37.03703703703704 37.03703703703704 0.0 0.0 -6.365463620521407e-17 -6.365463620521407e-17 0.0 -1.0052185159850071e-25 -4.7151582374232654e-18 0.0 
38.03803803803804 300.0 0.0 38.03803803803804 38.03803803803804 0.0 0.0 -6.357369171569494e-17 -6.357369171569494e-17 0.0 -1.0052185159850071e-25 -4.836437007400217e-18 0.0 
39.03903903903904 300.0 0.0 39.03903903903904 39.03903903903904 0.0 0.0 -6.349062443169082e-17 -6.349062443169082e-17 0.0 -1.0052185159850071e-25 -4.957225931603488e-18 0.0 
40.04004004004004 300.0 0.0 40.04004004004004 40.04004004004004 0.0 0.0 -6.340543719001423e-17 -6.340543719001423e-17 0.0 -1.0052185159850071e-25 -5.077512487688829e-18 0.0 
41.04104104104105 300.0 0.0 41.04104104104105 41.04104104104105 0.0 0.0 -6.331813290331356e-17 -6.331813290331356e-17 0.0 -1.0052185159850071e-25 -5.197284182253968e-18 0.0 
42.04204204204205 300.0 0.0 42.04204204204205 42.04204204204205 0.0 0.0 -6.322871456024345e-17 -6.322871456024345e-17 0.0 -1.0052185159850071e-25 -5.316528551612064e-18 0.0 
43.04304304304305 300.0 0.0 43.04304304304305 43.04304304304305 0.0 0.0 -6.313718522564107e-17 -6.313718522564107e-17 0.0 -1.0052185159850071e-25 -5.435233162567701e-18 0.0 
44.04404404404405 300.0 0.0 44.04404404404405 44.04404404404405 0.0 0.0 -6.304354804070305e-17 -6.304354804070305e-17 0.0 -1.0052185159850071e-25 -5.553385613195065e-18 0.0 
45.04504504504505 300.0 0.0 45.04504504504505 45.04504504504505 0.0 0.0 -6.294780622317182e-17 -6.294780622317182e-17 0.0 -1.0052185159850071e-25 -5.670973533619084e-18 0.0 
46.04604604604605 300.0 0.0 46.04604604604605 46.04604604604605 0.0 0.0 -6.284996306752564e-17 -6.284996306752564e-17 0.0 -1.0052185159850071e-25 -5.787984586799159e-18 0.0 
47.04704704704705 300.0 0.0 47.04704704704705 47.04704704704705 0.0 0.0 -6.275002194517177e-17 -6.275002194517177e-17 0.0 -1.0052185159850071e-25 -5.904406469315463e-18 0.0 
48.04804804804805 300.0 0.0 48.04804804804805 48.04804804804805 0.0 0.0 -6.26479863046466e-17 -6.26479863046466e-17 0.0 -1.0052185159850071e-25 -6.020226912158233e-18 0.0 
49.04904904904905 300.0 0.0 49.04904904904905 49.04904904904905 0.0 0.0 -6.254385967182158e-17 -6.254385967182158e-17 0.0 -1.0052185159850071e-25 -6.135433681520037e-18 0.0 
50.050050050050054 300.0 0.0 50.050050050050054 50.050050050050054 0.0 0.0 -6.243764565011208e-17 -6.243764565011208e-17 0.0 -1.0052185159850071e-25 -6.2500145795908e-18 0.0 
51.051051051051054 300.0 0.0 51.051051051051054 51.051051051051054 0.0 0.0 -6.232934792069291e-17 -6.232934792069291e-17 0.0 -1.0052185159850071e-25 -6.363957445356035e-18 0.0 
52.052052052052055 300.0 0.0 52.052052052052055 52.052052052052055 0.0 0.0 -6.221897024271927e-17 -6.221897024271927e-17 0.0 -1.0052185159850071e-25 -6.4772501553982035e-18 0.0 
53.053053053053056 300.0 0.0 53.053053053053056 53.053053053053056 0.0 0.0 -6.210651645355242e-17 -6.210651645355242e-17 0.0 -1.0052185159850071e-25 -6.5898806247012585e-18 0.0 
54.054054054054056 300.0 0.0 54.054054054054056 54.054054054054056 0.0 0.0 -6.199199046899082e-17 -6.199199046899082e-17 0.0 -1.0052185159850071e-25 -6.701836807458468e-18 0.0 
55.05505505505506 300.0 0.0 55.05505505505506 55.05505505505506 0.0 0.0 -6.187539628350833e-17 -6.187539628350833e-17 0.0 -1.0052185159850071e-25 -6.813106697883801e-18 0.0 
56.056056056056065 300.0 0.0 56.056056056056065 56.056056056056065 0.0 0.0 -6.175673797049425e-17 -6.175673797049425e-17 0.0 -1.0052185159850071e-25 -6.923678331026383e-18 0.0 
57.057057057057065 300.0 0.0 57.057057057057065 57.057057057057065 0.0 0.0 -6.163601968250383e-17 -6.163601968250383e-17 0.0 -1.0052185159850071e-25 -7.033539783589026e-18 0.0 
58.058058058058066 300.0 0.0 58.058058058058066 58.058058058058066 0.0 0.0 -6.151324565150976e-17 -6.151324565150976e-17 0.0 -1.0052185159850071e-25 -7.142679174749884e-18 0.0 
59.05905905905907 300.0 0.0 59.05905905905907 59.05905905905907 0.0 0.0 -6.138842018916336e-17 -6.138842018916336e-17 0.0 -1.0052185159850071e-25 -7.251084666988266e-18 0.0 
60.06006006006007 300.0 0.0 60.06006006006007 60.06006006006007 0.0 0.0 -6.126154768705914e-17 -6.126154768705914e-17 0.0 -1.0052185159850071e-25 -7.358744466914012e-18 0.0 
61.06106106106107 300.0 0.0 61.06106106106107 61.06106106106107 0.0 0.0 -6.11326326170051e-17 -6.11326326170051e-17 0.0 -1.0052185159850071e-25 -7.465646826100724e-18 0.0 
62.06206206206207 300.0 0.0 62.06206206206207 62.06206206206207 0.0 0.0 -6.100167953130108e-17 -6.100167953130108e-17 0.0 -1.0052185159850071e-25 -7.571780041923257e-18 0.0 
63.06306306306307 300.0 0.0 63.06306306306307 63.06306306306307 0.0 0.0 -6.086869306302121e-17 -6.086869306302121e-17 0.0 -1.0052185159850071e-25 -7.677132458399073e-18 0.0 
64.06406406406407 300.0 0.0 64.06406406406407 64.06406406406407 0.0 0.0 -6.073367792630363e-17 -6.073367792630363e-17 0.0 -1.0052185159850071e-25 -7.781692467033901e-18 0.0 
65.06506506506507 300.0 0.0 65.06506506506507 65.06506506506507 0.0 0.0 -6.059663891664474e-17 -6.059663891664474e-17 0.0 -1.0052185159850071e-25 -7.885448507671489e-18 0.0 
66.06606606606607 300.0 0.0 66.06606606606607 66.06606606606607 0.0 0.0 -6.045758091120219e-17 -6.045758091120219e-17 0.0 -1.0052185159850071e-25 -7.98838906934804e-18 0.0 
